Subject,Cat #,Section,Code,Instructor
HIST,207,401,HIST 207 401,"Milliman,Paul R"
HIST,207,401A,HIST 207 401A,"Milliman,Paul R"
HIST,207,402,HIST 207 402,"Milliman,Paul R"
HIST,208,101,HIST 208 101,"Lawrance,Benjamin N"
HIST,208,401,HIST 208 401,"Lawrance,Benjamin N"
HIST,214B,101,HIST 214B 101,"Baum,Samuel William"
HIST,214B,401,HIST 214B 401,-
HIST,224,101,HIST 224 101,"Pierce,Mary L"
HIST,224,401,HIST 224 401,"Pierce,Mary L"
HIST,246,101,HIST 246 101,"Vetter,Jeremy A"
HIST,246,401,HIST 246 401,"Vetter,Jeremy A"
HIST,270,101,HIST 270 101,"Lanza,Fabio"
HIST,270,401,HIST 270 401,"Lanza,Fabio"
HIST,271,101,HIST 271 101,"Plummer,Marjorie Elizabeth"
HIST,271,401,HIST 271 401,"Plummer,Marjorie Elizabeth"
HIST,296,101,HIST 296 101,"Beezley,William H"
HIST,296,401,HIST 296 401,"Beezley,William H"
HIST,310,101,HIST 310 101,"Schweig,Alexander"
HIST,310,401,HIST 310 401,"Schweig,Alexander"
HIST,311,101,HIST 311 101,"Oropeza,Ruth A"
HIST,311,401,HIST 311 401,"Oropeza,Ruth A"
HIST,319,101,HIST 319 101,"Small,Rachel Elizabeth Davis"
HIST,319,401,HIST 319 401,"Small,Rachel Elizabeth Davis"
HIST,349,101,HIST 349 101,"Hemphill,Katie"
HIST,349,401,HIST 349 401,"Hemphill,Katie"
HIST,358,101,HIST 358 101,"Morrissey,Katherine G"
HIST,358,401,HIST 358 401,"Morrissey,Katherine G"
HIST,369,101,HIST 369 101,"Beezley,William H"
HIST,369,401,HIST 369 401,"Beezley,William H"
HIST,377,103,HIST 377 103,"Hammer,Leonard M"
HIST,377,403,HIST 377 403,"Hammer,Leonard M"
HIST,400A,101,HIST 400A 101,"Ruffner,Paul Lee"
HIST,400A,401,HIST 400A 401,"Ruffner,Paul Lee"
HIST,405A,101,HIST 405A 101,"Milliman,Paul R"
HIST,405A,401,HIST 405A 401,"Milliman,Paul R"
HIST,436,101,HIST 436 101,"Hemphill,Katie"
HIST,436,401,HIST 436 401,"Hemphill,Katie"
HIST,476,101,HIST 476 101,"Lanza,Fabio"
HIST,476,401,HIST 476 401,"Lanza,Fabio"
HPS,178,101,HPS 178 101,"Brown,Sheena M"
HPS,178,403,HPS 178 403,"Brown,Sheena M"
HPS,200,101,HPS 200 101,"Oguegbu,Adaeze"
HPS,200,403,HPS 200 403,"Oguegbu,Adaeze"
HPS,300,101,HPS 300 101,"Woodson,Lisa Labita"
HPS,300,401,HPS 300 401,"Woodson,Lisa Labita"
HPS,350,101,HPS 350 101,"Girard,Christine Lynn"
HPS,350,403,HPS 350 403,"Girard,Christine Lynn"
HPS,387,101,HPS 387 101,"Moore-Monroy,Martha J"
HPS,387,403,HPS 387 403,"Moore-Monroy,Martha J"
HPS,387,403A,HPS 387 403A,"Moore-Monroy,Martha J"
HPS,405,101,HPS 405 101,"Pottinger,Heidi Lee"
HPS,405,403,HPS 405 403,"Pottinger,Heidi Lee"
HPS,417,101,HPS 417 101,"Magrath,Priscilla Anne"
HPS,417,403,HPS 417 403,"Magrath,Priscilla Anne"
HPS,433,101,HPS 433 101,"Asaolu,Ibitola"
HPS,433,403,HPS 433 403,"Asaolu,Ibitola"
HRTS,500,101,HRTS 500 101,"Simmons,William P"
HRTS,500,401,HRTS 500 401,"Simmons,William P"
HRTS,510,101,HRTS 510 101,"Hammer,Leonard M"
HRTS,510,401,HRTS 510 401,"Hammer,Leonard M"
HRTS,541,101,HRTS 541 101,"Seckinger,Beverly A"
HRTS,541,401,HRTS 541 401,"Seckinger,Beverly A"
HRTS,542,401,HRTS 542 401,"Murphy,Mary Kaitlin M"
HRTS,543,101,HRTS 543 101,"Braitberg,Victor E"
HRTS,543,401,HRTS 543 401,"Braitberg,Victor E"
HRTS,595A,101,HRTS 595A 101,"Taoua,Phyllis"
HRTS,595A,401,HRTS 595A 401,"Taoua,Phyllis"
HRTS,596A,101,HRTS 596A 101,"Brogden,Mette Jean"
HRTS,596A,401,HRTS 596A 401,"Brogden,Mette Jean"
HUMS,376,101,HUMS 376 101,"Abana,Yuxuf A"
HUMS,376,102,HUMS 376 102,"Abana,Yuxuf A"
HUMS,376,401,HUMS 376 401,"Abana,Yuxuf A"
HUMS,376,402,HUMS 376 402,"Abana,Yuxuf A"
INFO,516,101,INFO 516 101,"Bozgeyikli,Evren"
INFO,516,401,INFO 516 401,"Bozgeyikli,Evren"
INFO,533,101,INFO 533 101,"Kramer,Sandra S"
INFO,533,401,INFO 533 401,"Kramer,Sandra S"
INFO,540,101,INFO 540 101,"Loa,C Berlin"
INFO,540,201,INFO 540 201,"Loa,C Berlin"
INFO,565,101,INFO 565 101,-
INFO,565,401,INFO 565 401,-
INFO,570,101,INFO 570 101,"Fulton,Bruce D"
INFO,570,401,INFO 570 401,"Fulton,Bruce D"
INFO,571,101,INFO 571 101,"Rucker,Ryan"
INFO,571,401,INFO 571 401,"Rucker,Ryan"
INFO,575,101,INFO 575 101,"Rucker,Ryan"
INFO,575,401,INFO 575 401,"Rucker,Ryan"
INFO,671,101,INFO 671 101,"Fulton,Bruce D"
INFO,671,401,INFO 671 401,"Fulton,Bruce D"
INFO,672,101,INFO 672 101,"Helmke,Matthew D"
INFO,672,401,INFO 672 401,"Helmke,Matthew D"
ISTA,130,101,ISTA 130 101,"Stueve,Sarah Marie"
ISTA,130,101A,ISTA 130 101A,"Stueve,Sarah Marie"
ISTA,130,101B,ISTA 130 101B,"Stueve,Sarah Marie"
ISTA,130,101C,ISTA 130 101C,"Stueve,Sarah Marie"
ISTA,130,101D,ISTA 130 101D,"Stueve,Sarah Marie"
ISTA,130,101E,ISTA 130 101E,"Stueve,Sarah Marie"
ISTA,130,401,ISTA 130 401,"Stueve,Sarah Marie"
ISTA,130,401A,ISTA 130 401A,"Stueve,Sarah Marie"
ISTA,130,401B,ISTA 130 401B,"Stueve,Sarah Marie"
ISTA,130,401C,ISTA 130 401C,"Stueve,Sarah Marie"
ISTA,130,401D,ISTA 130 401D,"Stueve,Sarah Marie"
ISTA,130,401E,ISTA 130 401E,"Stueve,Sarah Marie"
ISTA,230,101,ISTA 230 101,"Rucker,Ryan"
ISTA,230,101,ISTA 230 101,"Rucker,Ryan"
ISTA,230,401,ISTA 230 401,"Rucker,Ryan"
ISTA,230,401,ISTA 230 401,"Rucker,Ryan"
ISTA,263,110,ISTA 263 110,"Clark,Jaclynn A"
ISTA,263,401,ISTA 263 401,"Clark,Jaclynn A"
ISTA,301,101,ISTA 301 101,"Sherman,David G"
ISTA,301,401,ISTA 301 401,"Sherman,David G"
ISTA,302,101,ISTA 302 101,"Sherman,David G"
ISTA,302,401,ISTA 302 401,"Sherman,David G"
ISTA,321,101,ISTA 321 101,"DiRienzo,Nicholas"
ISTA,321,101A,ISTA 321 101A,"DiRienzo,Nicholas"
ISTA,321,401,ISTA 321 401,"DiRienzo,Nicholas"
ISTA,321,401A,ISTA 321 401A,"DiRienzo,Nicholas"
ISTA,322,101,ISTA 322 101,"DiRienzo,Nicholas"
ISTA,322,401,ISTA 322 401,"DiRienzo,Nicholas"
ISTA,416,101,ISTA 416 101,"Bozgeyikli,Evren"
ISTA,416,401,ISTA 416 401,"Bozgeyikli,Evren"
ITAL,150B1,101,ITAL 150B1 101,"Kaye,Deborah A"
ITAL,150B1,101,ITAL 150B1 101,"Provencher,Denis Michael"
ITAL,150B1,102,ITAL 150B1 102,-
ITAL,150B1,102,ITAL 150B1 102,"Provencher,Denis Michael"
ITAL,160B1,101,ITAL 160B1 101,"Kaye,Deborah A"
ITAL,160B1,101,ITAL 160B1 101,"Provencher,Denis Michael"
ITAL,160B1,401,ITAL 160B1 401,"Kaye,Deborah A"
ITAL,160B1,401,ITAL 160B1 401,"Provencher,Denis Michael"
ITAL,250C,101,ITAL 250C 101,"Bellocchio,Maria Letizia"
ITAL,250C,101,ITAL 250C 101,"Provencher,Denis Michael"
ITAL,250C,401,ITAL 250C 401,"Bellocchio,Maria Letizia"
ITAL,250C,401,ITAL 250C 401,"Provencher,Denis Michael"
JOUR,150C1,201,JOUR 150C1 201,"Lumsden,Linda J"
JOUR,150C1,401,JOUR 150C1 401,"Lumsden,Linda J"
JOUR,402,101,JOUR 402 101,"Zanger,Margaret E"
JOUR,402,401,JOUR 402 401,"Zanger,Margaret E"
JOUR,496F,101,JOUR 496F 101,"Relly,Jeannine E"
JOUR,496F,401,JOUR 496F 401,"Relly,Jeannine E"
JOUR,502,101,JOUR 502 101,"Zanger,Margaret E"
JOUR,502,401,JOUR 502 401,"Zanger,Margaret E"
JOUR,596F,101,JOUR 596F 101,"Relly,Jeannine E"
JOUR,596F,401,JOUR 596F 401,"Relly,Jeannine E"
JUS,160D1,101,JUS 160D1 101,"Kaye,Deborah A"
JUS,160D1,401,JUS 160D1 401,"Kaye,Deborah A"
JUS,310,101,JUS 310 101,"Wright,J Edward"
JUS,310,401,JUS 310 401,"Wright,J Edward"
JUS,321,101,JUS 321 101,"Kaye,Deborah A"
JUS,321,401,JUS 321 401,"Kaye,Deborah A"
JUS,377,103,JUS 377 103,"Hammer,Leonard M"
JUS,377,403,JUS 377 403,"Hammer,Leonard M"
JUS,384,101,JUS 384 101,"Hammer,Leonard M"
JUS,384,401,JUS 384 401,"Hammer,Leonard M"
LAR,150B1,101,LAR 150B1 101,"Johnson,Lauri M"
LAR,150B1,101,LAR 150B1 101,"Lee,Matthew J"
LAR,150B1,401,LAR 150B1 401,"Johnson,Lauri M"
LAR,150B1,401,LAR 150B1 401,"Lee,Matthew J"
LAR,471F,101,LAR 471F 101,"Daughtrey,Cannon Stewart"
LAR,471F,401,LAR 471F 401,"Daughtrey,Cannon Stewart"
LAR,571F,101,LAR 571F 101,"Daughtrey,Cannon Stewart"
LAR,571F,401,LAR 571F 401,"Daughtrey,Cannon Stewart"
LAS,204,101,LAS 204 101,"Work,Alexis Nicole"
LAS,204,401,LAS 204 401,"Work,Alexis Nicole"
LAS,330,101,LAS 330 101,"Vaknin,Johnathan Joseph"
LAS,330,401,LAS 330 401,"Vaknin,Johnathan Joseph"
LAS,347,101,LAS 347 101,"Cyr,Jennifer M"
LAS,347,401,LAS 347 401,"Cyr,Jennifer M"
LAS,350,101,LAS 350 101,"Huizar Hernandez,Anita Elizabeth"
LAS,350,401,LAS 350 401,"Huizar Hernandez,Anita Elizabeth"
LAS,356,101,LAS 356 101,"Brewer-Osorio,Susan Virginia"
LAS,356,401,LAS 356 401,"Brewer-Osorio,Susan Virginia"
LAS,366,101,LAS 366 101,"Brewer-Osorio,Susan Virginia"
LAS,366,401,LAS 366 401,"Brewer-Osorio,Susan Virginia"
LAS,388,101,LAS 388 101,"Williams,Isabel Lee"
LAS,388,401,LAS 388 401,"Williams,Isabel Lee"
LAS,400A,101,LAS 400A 101,"Ruffner,Paul Lee"
LAS,400A,401,LAS 400A 401,"Ruffner,Paul Lee"
LAS,425,101,LAS 425 101,-
LAS,425,401,LAS 425 401,-
LAS,469,101,LAS 469 101,-
LAS,469,401,LAS 469 401,-
LAW,401,101,LAW 401 101,-
LAW,401,101,LAW 401 101,"Blair,Mark L"
LAW,401,402,LAW 401 402,-
LAW,402B,101,LAW 402B 101,"Blair,Mark L"
LAW,402B,101,LAW 402B 101,"Erwin,John Alexander"
LAW,402B,101A,LAW 402B 101A,"Erwin,John Alexander"
LAW,402B,402,LAW 402B 402,"Erwin,John Alexander"
LAW,404,101,LAW 404 101,"Bergolla,Luis A"
LAW,404,101,LAW 404 101,"Blair,Mark L"
LAW,404,402,LAW 404 402,"Bergolla,Luis A"
LAW,404,402,LAW 404 402,"Blair,Mark L"
LAW,407,101,LAW 407 101,"Blair,Mark L"
LAW,407,101,LAW 407 101,"Larson,Sidner"
LAW,407,401,LAW 407 401,"Blair,Mark L"
LAW,407,401,LAW 407 401,"Larson,Sidner"
LAW,413A,101,LAW 413A 101,"Harless,Patrick"
LAW,413A,401,LAW 413A 401,"Harless,Patrick"
LAW,416,101,LAW 416 101,"Blair,Mark L"
LAW,416,101,LAW 416 101,"Meguerian-Faria,Rosa"
LAW,416,401,LAW 416 401,"Blair,Mark L"
LAW,416,401,LAW 416 401,"Meguerian-Faria,Rosa"
LAW,421,101,LAW 421 101,"Engel,Kirsten H"
LAW,421,401,LAW 421 401,"Engel,Kirsten H"
LAW,440A,101,LAW 440A 101,"Blair,Mark L"
LAW,440A,401,LAW 440A 401,"Blair,Mark L"
LAW,442,101,LAW 442 101,"Woods,Robert W"
LAW,442,401,LAW 442 401,"Woods,Robert W"
LAW,444B,101,LAW 444B 101,"Blair,Mark L"
LAW,444B,101,LAW 444B 101,"Meguerian-Faria,Rosa"
LAW,444B,401,LAW 444B 401,"Blair,Mark L"
LAW,444B,401,LAW 444B 401,"Meguerian-Faria,Rosa"
LAW,453,101,LAW 453 101,"Milczarek-desai,Shefali"
LAW,453,401,LAW 453 401,"Milczarek-desai,Shefali"
LAW,453A,101,LAW 453A 101,"Blair,Mark L"
LAW,453A,101,LAW 453A 101,"Meguerian-Faria,Rosa"
LAW,453A,401,LAW 453A 401,"Blair,Mark L"
LAW,453A,401,LAW 453A 401,"Meguerian-Faria,Rosa"
LAW,454,101,LAW 454 101,"Blair,Mark L"
LAW,454,101,LAW 454 101,"Erwin,John Alexander"
LAW,454,401,LAW 454 401,"Blair,Mark L"
LAW,454,401,LAW 454 401,"Erwin,John Alexander"
LAW,455,101,LAW 455 101,"Blair,Mark L"
LAW,455,101,LAW 455 101,"Meguerian-Faria,Rosa"
LAW,455,401,LAW 455 401,"Blair,Mark L"
LAW,455,401,LAW 455 401,"Meguerian-Faria,Rosa"
LAW,459,101,LAW 459 101,"Blair,Mark L"
LAW,459,101,LAW 459 101,"Hopkins,James C"
LAW,459,101,LAW 459 101,"Spira,Shirley"
LAW,459,401,LAW 459 401,"Blair,Mark L"
LAW,459,401,LAW 459 401,"Hopkins,James C"
LAW,459,401,LAW 459 401,"Spira,Shirley"
LAW,472,101,LAW 472 101,"Blair,Mark L"
LAW,472,101,LAW 472 101,"Kamm,Thomas Clayton"
LAW,472,401,LAW 472 401,"Blair,Mark L"
LAW,472,401,LAW 472 401,"Kamm,Thomas Clayton"
LAW,501,101,LAW 501 101,-
LAW,501,101,LAW 501 101,"Blair,Mark L"
LAW,501,402,LAW 501 402,-
LAW,502A,101,LAW 502A 101,"Blair,Mark L"
LAW,502A,101,LAW 502A 101,"Erwin,John Alexander"
LAW,502A,101A,LAW 502A 101A,"Erwin,John Alexander"
LAW,502A,402,LAW 502A 402,"Erwin,John Alexander"
LAW,502B,101,LAW 502B 101,"Blair,Mark L"
LAW,502B,101,LAW 502B 101,"Erwin,John Alexander"
LAW,502B,101A,LAW 502B 101A,"Erwin,John Alexander"
LAW,502B,402,LAW 502B 402,"Erwin,John Alexander"
LAW,504,101,LAW 504 101,"Bergolla,Luis A"
LAW,504,101,LAW 504 101,"Blair,Mark L"
LAW,504,402,LAW 504 402,"Bergolla,Luis A"
LAW,504,402,LAW 504 402,"Blair,Mark L"
LAW,507,101,LAW 507 101,"Blair,Mark L"
LAW,507,101,LAW 507 101,"Larson,Sidner"
LAW,507,401,LAW 507 401,"Blair,Mark L"
LAW,507,401,LAW 507 401,"Kamm,Thomas Clayton"
LAW,507,401,LAW 507 401,"Blair,Mark L"
LAW,507,401,LAW 507 401,"Larson,Sidner"
LAW,513A,101,LAW 513A 101,"Harless,Patrick"
LAW,513A,401,LAW 513A 401,"Harless,Patrick"
LAW,516,101,LAW 516 101,"Blair,Mark L"
LAW,516,101,LAW 516 101,"Meguerian-Faria,Rosa"
LAW,516,401,LAW 516 401,"Blair,Mark L"
LAW,516,401,LAW 516 401,"Meguerian-Faria,Rosa"
LAW,519,101,LAW 519 101,"Schmidtz,David J"
LAW,519,401,LAW 519 401,"Schmidtz,David J"
LAW,521,101,LAW 521 101,"Engel,Kirsten H"
LAW,521,401,LAW 521 401,"Engel,Kirsten H"
LAW,540A,101,LAW 540A 101,"Blair,Mark L"
LAW,540A,401,LAW 540A 401,"Blair,Mark L"
LAW,542,101,LAW 542 101,"Woods,Robert W"
LAW,542,401,LAW 542 401,"Woods,Robert W"
LAW,544B,101,LAW 544B 101,"Blair,Mark L"
LAW,544B,101,LAW 544B 101,"Meguerian-Faria,Rosa"
LAW,544B,401,LAW 544B 401,"Blair,Mark L"
LAW,544B,401,LAW 544B 401,"Meguerian-Faria,Rosa"
LAW,553,101,LAW 553 101,"Milczarek-desai,Shefali"
LAW,553,401,LAW 553 401,"Milczarek-desai,Shefali"
LAW,553A,101,LAW 553A 101,"Blair,Mark L"
LAW,553A,101,LAW 553A 101,"Meguerian-Faria,Rosa"
LAW,553A,401,LAW 553A 401,"Blair,Mark L"
LAW,553A,401,LAW 553A 401,"Meguerian-Faria,Rosa"
LAW,554,101,LAW 554 101,"Blair,Mark L"
LAW,554,101,LAW 554 101,"Erwin,John Alexander"
LAW,554,401,LAW 554 401,"Blair,Mark L"
LAW,554,401,LAW 554 401,"Erwin,John Alexander"
LAW,555,101,LAW 555 101,"Blair,Mark L"
LAW,555,101,LAW 555 101,"Meguerian-Faria,Rosa"
LAW,555,401,LAW 555 401,"Blair,Mark L"
LAW,555,401,LAW 555 401,"Meguerian-Faria,Rosa"
LAW,559,101,LAW 559 101,"Blair,Mark L"
LAW,559,101,LAW 559 101,"Hopkins,James C"
LAW,559,101,LAW 559 101,"Spira,Shirley"
LAW,559,401,LAW 559 401,"Blair,Mark L"
LAW,559,401,LAW 559 401,"Hopkins,James C"
LAW,559,401,LAW 559 401,"Spira,Shirley"
LAW,572,101,LAW 572 101,"Blair,Mark L"
LAW,572,101,LAW 572 101,"Kamm,Thomas Clayton"
LAW,572,401,LAW 572 401,"Blair,Mark L"
LAW,572,401,LAW 572 401,"Kamm,Thomas Clayton"
LAW,640,101,LAW 640 101,"Brooks,Michael Thomas"
LAW,640,101,LAW 640 101,"Lacy,John C"
LAW,640,401,LAW 640 401,"Brooks,Michael Thomas"
LAW,640,401,LAW 640 401,"Lacy,John C"
LAW,640G,101,LAW 640G 101,"Brooks,Michael Thomas"
LAW,640G,101,LAW 640G 101,"Poulton,Mary M"
LAW,640G,401,LAW 640G 401,"Brooks,Michael Thomas"
LAW,640G,401,LAW 640G 401,"Poulton,Mary M"
LAW,655F,101,LAW 655F 101,"Brooks,Michael Thomas"
LAW,655F,101,LAW 655F 101,"Butler,Susan J"
LAW,655F,401,LAW 655F 401,"Brooks,Michael Thomas"
LAW,655F,401,LAW 655F 401,"Butler,Susan J"
LAW,689,101,LAW 689 101,"Brooks,Michael Thomas"
LAW,689,101,LAW 689 101,"Esposito,Shaun"
LAW,689,401,LAW 689 401,"Brooks,Michael Thomas"
LAW,689,401,LAW 689 401,"Esposito,Shaun"
LAW,696I,101,LAW 696I 101,"Brooks,Michael Thomas"
LAW,696I,101,LAW 696I 101,"Hopkins,James C"
LAW,696I,401,LAW 696I 401,"Brooks,Michael Thomas"
LAW,696I,401,LAW 696I 401,"Hopkins,James C"
LING,201,105,LING 201 105,"Ohala,Diane K"
LING,201,405,LING 201 405,"Ohala,Diane K"
LING,202,101,LING 202 101,"King,Caroline"
LING,202,401,LING 202 401,"King,Caroline"
LING,210,101,LING 210 101,"De Lima Silva,Wilson"
LING,210,102,LING 210 102,"De Lima Silva,Wilson"
LING,210,401,LING 210 401,"De Lima Silva,Wilson"
LING,211,101,LING 211 101,"Bever,Thomas G"
LING,211,101,LING 211 101,"Chomsky,Avram"
LING,211,101,LING 211 101,"Piattelli-Palmarini,Massi"
LING,211,102,LING 211 102,"Bever,Thomas G"
LING,211,102,LING 211 102,"Chomsky,Avram"
LING,211,102,LING 211 102,"Piattelli-Palmarini,Massi"
LING,211,401,LING 211 401,"Bever,Thomas G"
LING,211,401,LING 211 401,"Chomsky,Avram"
LING,211,401,LING 211 401,"Piattelli-Palmarini,Massi"
LING,320,101,LING 320 101,-
LING,320,102,LING 320 102,-
LING,320,401,LING 320 401,-
LING,341,101,LING 341 101,"Fedzechkina,Maryia"
LING,341,102,LING 341 102,-
LING,341,401,LING 341 401,"Fedzechkina,Maryia"
LING,341,402,LING 341 402,-
LING,432,101,LING 432 101,"Ohala,Diane K"
LING,432,401,LING 432 401,"Ohala,Diane K"
LING,529,101,LING 529 101,"Hammond,Michael"
LING,529,401,LING 529 401,"Hammond,Michael"
LING,531,101,LING 531 101,"Hammond,Michael"
LING,531,401,LING 531 401,"Hammond,Michael"
LIS,432,101,LIS 432 101,"Thomas,Emily Louise"
LIS,432,401,LIS 432 401,"Thomas,Emily Louise"
LIS,470,101,LIS 470 101,"Fulton,Bruce D"
LIS,471,101,LIS 471 101,"Rucker,Ryan"
LIS,471,401,LIS 471 401,"Rucker,Ryan"
LIS,472,101,LIS 472 101,"Wallace,Niamh A"
LIS,472,401,LIS 472 401,"Wallace,Niamh A"
LIS,475,101,LIS 475 101,"Rucker,Ryan"
LIS,475,401,LIS 475 401,"Rucker,Ryan"
LIS,504,101,LIS 504 101,"Macaluso,Jane Mary"
LIS,504,401,LIS 504 401,"Macaluso,Jane Mary"
LIS,506,101,LIS 506 101,"Mery,Yvonne D"
LIS,506,401,LIS 506 401,"Mery,Yvonne D"
LIS,515,401,LIS 515 401,"Fricke,Martin H"
LIS,520,101,LIS 520 101,"Lysenko,Volodymyr"
LIS,520,401,LIS 520 401,"Lysenko,Volodymyr"
LIS,523,101,LIS 523 101,"Macaluso,Jane Mary"
LIS,523,401,LIS 523 401,"Macaluso,Jane Mary"
LIS,530,101,LIS 530 101,"Parks,Bonnie S"
LIS,530,401,LIS 530 401,"Parks,Bonnie S"
LIS,532,101,LIS 532 101,"Loa,C Berlin"
LIS,532,401,LIS 532 401,"Loa,C Berlin"
LIS,533,101,LIS 533 101,"Kramer,Sandra S"
LIS,533,401,LIS 533 401,"Kramer,Sandra S"
LIS,540,101,LIS 540 101,"Loa,C Berlin"
LIS,540,401,LIS 540 401,"Loa,C Berlin"
LIS,557,101,LIS 557 101,"Chabran,Richard F"
LIS,557,401,LIS 557 401,"Chabran,Richard F"
LIS,558,101,LIS 558 101,"Gohr,Michelle Ashley"
LIS,558,401,LIS 558 401,"Gohr,Michelle Ashley"
LIS,559,101,LIS 559 101,"Macaluso,Jane Mary"
LIS,559,401,LIS 559 401,"Macaluso,Jane Mary"
LIS,565,101,LIS 565 101,-
LIS,565,401,LIS 565 401,-
LIS,570,101,LIS 570 101,"Fulton,Bruce D"
LIS,570,401,LIS 570 401,"Fulton,Bruce D"
LIS,571,101,LIS 571 101,"Rucker,Ryan"
LIS,571,401,LIS 571 401,"Rucker,Ryan"
LIS,572,101,LIS 572 101,"Wallace,Niamh A"
LIS,572,401,LIS 572 401,"Wallace,Niamh A"
LIS,575,101,LIS 575 101,"Rucker,Ryan"
LIS,575,401,LIS 575 401,"Rucker,Ryan"
LIS,586,101,LIS 586 101,"Gunder,Angela Corinne"
LIS,586,401,LIS 586 401,"Gunder,Angela Corinne"
LIS,671,101,LIS 671 101,"Fulton,Bruce D"
LIS,671,401,LIS 671 401,"Fulton,Bruce D"
LIS,672,101,LIS 672 101,"Helmke,Matthew D"
LIS,672,401,LIS 672 401,"Helmke,Matthew D"
LIS,676,101,LIS 676 101,"Fulton,Bruce D"
LIS,676,401,LIS 676 401,"Fulton,Bruce D"
MAS,150B1,101,MAS 150B1 101,-
MAS,150B1,401,MAS 150B1 401,-
MAS,150B2,101,MAS 150B2 101,"Santa Cruz,Darlane E"
MAS,150B2,101,MAS 150B2 101,"Magana,Maurice Rafael"
MAS,150B2,401,MAS 150B2 401,"Santa Cruz,Darlane E"
MAS,150B2,401,MAS 150B2 401,"Magana,Maurice Rafael"
MAS,150C1,101,MAS 150C1 101,-
MAS,150C1,401,MAS 150C1 401,-
MAS,265,101,MAS 265 101,-
MAS,265,401,MAS 265 401,-
MAS,350,101,MAS 350 101,-
MAS,350,401,MAS 350 401,-
MATH,107,101,MATH 107 101,"Ekstrom,Cheryl L"
MATH,107,401,MATH 107 401,"Ekstrom,Cheryl L"
MATH,112,101,MATH 112 101,"Ekstrom,Cheryl L"
MATH,112,102,MATH 112 102,"Ekstrom,Cheryl L"
MATH,112,103,MATH 112 103,-
MATH,112,401,MATH 112 401,"Ekstrom,Cheryl L"
MATH,112,402,MATH 112 402,"Ekstrom,Cheryl L"
MATH,112,403,MATH 112 403,-
MATH,113,103,MATH 113 103,-
MATH,113,403,MATH 113 403,-
MATH,116,103,MATH 116 103,-
MATH,116,401,MATH 116 401,-
MATH,116,403,MATH 116 403,-
MATH,120R,103,MATH 120R 103,-
MATH,120R,403,MATH 120R 403,-
MATH,121A,401,MATH 121A 401,"Ekstrom,Cheryl L"
MATH,121A,401,MATH 121A 401,"Krawczyk,Donna M"
MATH,121A,401,MATH 121A 401,"Person-Rennell,Christopher"
MATH,121B,401,MATH 121B 401,"Ekstrom,Cheryl L"
MATH,121B,401,MATH 121B 401,"Krawczyk,Donna M"
MATH,121B,401,MATH 121B 401,"Person-Rennell,Christopher"
MATH,122A,101,MATH 122A 101,-
MATH,122A,401,MATH 122A 401,-
MATH,122A,401,MATH 122A 401,-
MATH,122B,102,MATH 122B 102,-
MATH,122B,402,MATH 122B 402,-
MATH,125,103,MATH 125 103,-
MATH,125,401,MATH 125 401,-
MATH,125,403,MATH 125 403,-
MATH,129,103,MATH 129 103,-
MATH,129,401,MATH 129 401,-
MATH,129,403,MATH 129 403,-
MATH,202,101,MATH 202 101,"King,Caroline"
MATH,202,401,MATH 202 401,"King,Caroline"
MATH,223,101,MATH 223 101,"Ekstrom,Cheryl L"
MATH,223,101,MATH 223 101,"Krawczyk,Donna M"
MATH,223,401,MATH 223 401,"Ekstrom,Cheryl L"
MATH,223,401,MATH 223 401,"Krawczyk,Donna M"
MATH,243,101,MATH 243 101,-
MATH,243,401,MATH 243 401,-
MATH,254,103,MATH 254 103,-
MATH,254,402,MATH 254 402,-
MATH,254,403,MATH 254 403,-
MATH,263,103,MATH 263 103,-
MATH,263,403,MATH 263 403,-
MATH,564,101,MATH 564 101,-
MATH,564,401,MATH 564 401,-
MATH,564,402,MATH 564 402,-
MATH,571A,101,MATH 571A 101,-
MATH,571A,401,MATH 571A 401,-
MENA,160A1,101,MENA 160A1 101,"Nassar,Maha"
MENA,160A1,401,MENA 160A1 401,"Nassar,Maha"
MENA,377,103,MENA 377 103,"Hammer,Leonard M"
MENA,377,403,MENA 377 403,"Hammer,Leonard M"
MIC,205A,102,MIC 205A 102,"Xiong,Zhongguo"
MIC,205A,402,MIC 205A 402,"Xiong,Zhongguo"
MIC,450,101,MIC 450 101,"Cooper,Kerry K"
MIC,450,401,MIC 450 401,"Cooper,Kerry K"
MIC,550,101,MIC 550 101,"Cooper,Kerry K"
MIC,550,401,MIC 550 401,"Cooper,Kerry K"
MNE,503,101,MNE 503 101,"Do,Michael Duc"
MNE,503,401,MNE 503 401,"Do,Michael Duc"
NSC,101,101,NSC 101 101,"Driscoll,Nancy R"
NSC,101,102,NSC 101 102,"Driscoll,Nancy R"
NSC,101,103,NSC 101 103,"Barker,Katelyn"
NSC,101,401,NSC 101 401,"Driscoll,Nancy R"
NSC,101,402,NSC 101 402,"Driscoll,Nancy R"
NSC,101,402,NSC 101 402,"Driscoll,Nancy R"
NSC,101,403,NSC 101 403,"Barker,Katelyn"
NSC,115,101,NSC 115 101,"Mullins,Veronica Anne"
NSC,115,401,NSC 115 401,"Mullins,Veronica Anne"
NSC,115,401A,NSC 115 401A,"Mullins,Veronica Anne"
NSC,120,101,NSC 120 101,"Jondall,Dava R"
NSC,120,101,NSC 120 101,"Yitayew,Muluneh"
