Subject,Cat #,Section,Code,Instructor
ASTR,528,401,ASTR 528 401,"Hart,Michael"
ASTR,528,401,ASTR 528 401,"Loebig,Lindsay E"
ASTR,528,401,ASTR 528 401,"Robertson,Cindy L"
ASTR,528,401,ASTR 528 401,"Rodriguez Jr,Mark A"
ATMO,336,102,ATMO 336 102,"Romero,Guadalupe V"
ATMO,336,102,ATMO 336 102,"Ward,Dale M"
ATMO,336,401,ATMO 336 401,"Romero,Guadalupe V"
ATMO,336,401,ATMO 336 401,"Ward,Dale M"
ATMO,441A,101,ATMO 441A 101,"Ciancarelli,Brittany L"
ATMO,441A,101,ATMO 441A 101,"Zeng,Xubin"
ATMO,441A,401,ATMO 441A 401,"Ciancarelli,Brittany L"
ATMO,441A,401,ATMO 441A 401,"Zeng,Xubin"
BE,120,101,BE 120 101,"Jondall,Dava R"
BE,120,101,BE 120 101,"Yitayew,Muluneh"
BE,120,401,BE 120 401,"Jondall,Dava R"
BE,120,401,BE 120 401,"Yitayew,Muluneh"
BE,170A1,101,BE 170A1 101,"Jondall,Dava R"
BE,170A1,101,BE 170A1 101,"Poe,Stephen E"
BE,170A1,102,BE 170A1 102,"Jondall,Dava R"
BE,170A1,102,BE 170A1 102,"Poe,Stephen E"
BE,170A1,401,BE 170A1 401,"Jondall,Dava R"
BE,170A1,401,BE 170A1 401,"Poe,Stephen E"
BE,170A2,101,BE 170A2 101,"Jondall,Dava R"
BE,170A2,101,BE 170A2 101,"Waller,Peter M"
BE,170A2,401,BE 170A2 401,"Jondall,Dava R"
BE,170A2,401,BE 170A2 401,"Waller,Peter M"
BE,217,101,BE 217 101,"Tollefson,Stacy Joy"
BE,217,401,BE 217 401,"Tollefson,Stacy Joy"
BE,284,101,BE 284 101,"Kacira,Murat"
BE,284,401,BE 284 401,"Kacira,Murat"
BE,413,101,BE 413 101,"An,Lingling"
BE,413,401,BE 413 401,"An,Lingling"
BE,455,101,BE 455 101,"Jondall,Dava R"
BE,455,101,BE 455 101,"Tamimi,Akrum H"
BE,455,401,BE 455 401,"Jondall,Dava R"
BE,455,401,BE 455 401,"Tamimi,Akrum H"
BE,483,101,BE 483 101,"Giacomelli,Gene A"
BE,483,401,BE 483 401,"Giacomelli,Gene A"
BE,513,101,BE 513 101,"An,Lingling"
BE,513,401,BE 513 401,"An,Lingling"
BE,555,101,BE 555 101,"Jondall,Dava R"
BE,555,101,BE 555 101,"Tamimi,Akrum H"
BE,555,401,BE 555 401,"Jondall,Dava R"
BE,555,401,BE 555 401,"Tamimi,Akrum H"
BE,583,101,BE 583 101,"Giacomelli,Gene A"
BE,583,401,BE 583 401,"Giacomelli,Gene A"
BE,696A,101,BE 696A 101,"Didan,Kamel"
BE,696A,401,BE 696A 401,"Didan,Kamel"
BE,696B,101,BE 696B 101,"Didan,Kamel"
BE,696B,401,BE 696B 401,"Didan,Kamel"
CHN,476,101,CHN 476 101,"Lanza,Fabio"
CHN,476,401,CHN 476 401,"Lanza,Fabio"
CHS,204,102,CHS 204 102,"Laws,Lorre Ann"
CHS,204,401,CHS 204 401,"Laws,Lorre Ann"
CHS,303,102,CHS 303 102,"Brailsford,Jennifer M"
CHS,303,401,CHS 303 401,"Brailsford,Jennifer M"
CHS,306,101,CHS 306 101,"Laws,Lorre Ann"
CHS,306,401,CHS 306 401,"Laws,Lorre Ann"
CHS,350,102,CHS 350 102,"Zeng,Liwen"
CHS,350,401,CHS 350 401,"Zeng,Liwen"
CHS,401,102,CHS 401 102,"Brailsford,Jennifer M"
CHS,401,401,CHS 401 401,"Brailsford,Jennifer M"
CHS,476,102,CHS 476 102,"Andrews,Hannah Reanne"
CHS,476,401,CHS 476 401,"Andrews,Hannah Reanne"
CLAS,205,101,CLAS 205 101,"Bauschatz,John F"
CLAS,205,401,CLAS 205 401,"Bauschatz,John F"
CLAS,472A,101,CLAS 472A 101,"Wastvedt,Bjorn Sether"
CLAS,472A,401,CLAS 472A 401,"Wastvedt,Bjorn Sether"
CMM,527,101,CMM 527 101,"Zavros,Yana"
CMM,527,401,CMM 527 401,"Zavros,Yana"
CMM,528,101,CMM 528 101,"Zavros,Yana"
CMM,528,401,CMM 528 401,"Zavros,Yana"
CMM,529,101,CMM 529 101,"Zavros,Yana"
CMM,529,401,CMM 529 401,"Zavros,Yana"
CMM,533,101,CMM 533 101,"Bear,David G"
CMM,533,401,CMM 533 401,"Bear,David G"
